Mat,Strike,Market,Ana,Euler,QE
0.14510609171800137,160.0,32.0,32.014013459754466,31.873361315481617,31.09586940842138
0.14510609171800137,180.0,17.65,17.493701017510773,17.62890329690343,16.687548351161766
0.14510609171800137,190.0,12.28,12.023977577930978,12.255951855811873,11.321365835965224
0.14510609171800137,195.0,9.98,9.812798055451694,10.049258870642774,9.128902253126768
0.14510609171800137,220.0,3.05,3.2957936941911115,3.255719685573794,2.4713624883525185
0.22176591375770022,180.0,20.4,20.580603557506393,20.81157710076205,19.772224595196207
0.47091033538672145,160.0,41.19,40.988453710323896,41.08223906297755,39.6964132642117
0.47091033538672145,180.0,28.25,28.451469353834028,28.739566745836015,27.519714620300718
0.47091033538672145,190.0,23.25,23.299172925294968,23.626570666442078,22.48620870700789
0.47091033538672145,195.0,20.9,21.01723013101312,21.34360277779834,20.23001823314864
0.47091033538672145,220.0,12.33,12.38377442732066,12.524512824480475,11.374123928359644
0.5667351129363449,180.0,31.0,31.02917631289752,31.293291238967186,29.990508371629076
1.3880903490759753,160.0,58.7,58.73681520760111,58.84224028682297,56.27096146155522
1.3880903490759753,180.0,48.54,48.50722520610701,48.58156504979668,46.144930501912754
1.3880903490759753,190.0,44.0,43.99639738905671,44.04086571176451,41.673210273586946
1.3880903490759753,195.0,41.95,41.88787995980715,41.914201652416466,39.577707724711644
1.3880903490759753,220.0,32.88,32.731959141181875,32.643407738693995,30.40466012581423
1.6399726214921286,160.0,62.53,62.65865983904726,62.77058835615324,59.841245524759486
